exercise_id,exercise_name,equipment_in_image,body_position_description,image_prompt
"Open_Palm_Kettlebell_Clean","Open Palm Kettlebell Clean","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing open palm kettlebell clean, performing exercise with proper form, holding kettlebell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Otis-Up","Otis-Up","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing otis-up, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_439","Overhand Cable Curl","yes","standing or seated; arm curling weight toward shoulder","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing overhand cable curl, standing or seated, arm curling weight toward shoulder, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Overhead_Cable_Curl","Overhead Cable Curl","yes","standing or seated; arm curling weight toward shoulder","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing overhead cable curl, standing or seated, arm curling weight toward shoulder, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1513","Overhead Cable Tricep Extension","yes","arms overhead; extending weight behind head","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing overhead cable tricep extension, arms overhead, extending weight behind head, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Overhead_Lat","Overhead Lat","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing overhead lat, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_687","Overhead Press","yes","standing upright; arms pressing weight overhead","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing overhead press, standing upright, arms pressing weight overhead, holding barbell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Overhead_Slam","Overhead Slam","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing overhead slam, performing exercise with proper form, using medicine ball, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Overhead_Squat","Overhead Squat","yes","standing with weight; lowering into squat with thighs parallel","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing overhead squat, standing with weight, lowering into squat with thighs parallel, holding barbell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Overhead_Stretch","Overhead Stretch","no","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing overhead stretch, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Overhead_Triceps","Overhead Triceps","no","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing overhead triceps, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1519","Overhead Triceps Extension","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing overhead triceps extension, performing exercise with proper form, using sz-bar, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Pallof_Press","Pallof Press","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing pallof press, performing exercise with proper form, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Pallof_Press_With_Rotation","Pallof Press With Rotation","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing pallof press with rotation, performing exercise with proper form, at cable machine, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Palms-Down_Dumbbell_Wrist_Curl_Over_A_Bench","Palms-Down Dumbbell Wrist Curl Over A Bench","yes","standing or seated; arm curling weight toward shoulder","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing palms-down dumbbell wrist curl over a bench, standing or seated, arm curling weight toward shoulder, holding dumbbells, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Palms-Down_Wrist_Curl_Over_A_Bench","Palms-Down Wrist Curl Over A Bench","yes","standing or seated; arm curling weight toward shoulder","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing palms-down wrist curl over a bench, standing or seated, arm curling weight toward shoulder, holding barbell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Palms-Up_Barbell_Wrist_Curl_Over_A_Bench","Palms-Up Barbell Wrist Curl Over A Bench","yes","standing or seated; arm curling weight toward shoulder","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing palms-up barbell wrist curl over a bench, standing or seated, arm curling weight toward shoulder, holding barbell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Palms-Up_Dumbbell_Wrist_Curl_Over_A_Bench","Palms-Up Dumbbell Wrist Curl Over A Bench","yes","standing or seated; arm curling weight toward shoulder","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing palms-up dumbbell wrist curl over a bench, standing or seated, arm curling weight toward shoulder, holding dumbbells, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Parallel_Bar_Dip","Parallel Bar Dip","yes","suspended between parallel bars; arms pressing body upward","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing parallel bar dip, suspended between parallel bars, arms pressing body upward, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1808","Parallel Bar Hold","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing parallel bar hold, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1616","Patada de burro con mancuerna","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing patada de burro con mancuerna, performing exercise with proper form, holding dumbbells, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1703","Patadas traseras","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing patadas traseras, performing exercise with proper form, using bench, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_445","Pause Bench","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing pause bench, performing exercise with proper form, holding barbell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1464","Pause Hack Squats","yes","standing with weight; lowering into squat with thighs parallel","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing pause hack squats, standing with weight, lowering into squat with thighs parallel, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1775","Pec deck rear delt fly","yes","bent over; arms raising weights out to sides","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing pec deck rear delt fly, bent over, arms raising weights out to sides, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Pelvic_Tilt_Into_Bridge","Pelvic Tilt Into Bridge","no","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing pelvic tilt into bridge, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_448","Pendelay Rows","yes","torso bent forward; pulling weight toward body","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing pendelay rows, torso bent forward, pulling weight toward body, holding barbell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1521","Pendular hack","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing pendular hack, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1527","Pendulum Squat","yes","standing with weight; lowering into squat with thighs parallel","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing pendulum squat, standing with weight, lowering into squat with thighs parallel, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Peroneals_Stretch","Peroneals Stretch","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing peroneals stretch, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Peroneals-SMR","Peroneals-SMR","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing peroneals-smr, performing exercise with proper form, using foam roll, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1580","Perpendicular Unilateral Landmine Row","yes","torso bent forward; pulling weight toward body","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing perpendicular unilateral landmine row, torso bent forward, pulling weight toward body, holding barbell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Physioball_Hip_Bridge","Physioball Hip Bridge","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing physioball hip bridge, performing exercise with proper form, using exercise ball, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_454","Pike Push Ups","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing pike push ups, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1436","Pin Bench Press BB","yes","lying on flat bench; arms pressing barbell/dumbbells upward","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing pin bench press bb, lying on flat bench, arms pressing barbell/dumbbells upward, holding barbell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1439","Pin OHP","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing pin ohp, performing exercise with proper form, holding barbell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Pin_Presses","Pin Presses","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing pin presses, performing exercise with proper form, holding barbell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1437","Pin Squat","yes","standing with weight; lowering into squat with thighs parallel","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing pin squat, standing with weight, lowering into squat with thighs parallel, holding barbell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Piriformis-SMR","Piriformis-SMR","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing piriformis-smr, performing exercise with proper form, using foam roll, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_456","Pistol Squat","yes","standing with weight; lowering into squat with thighs parallel","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing pistol squat, standing with weight, lowering into squat with thighs parallel, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1020","Pistol squats right","yes","standing with weight; lowering into squat with thighs parallel","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing pistol squats right, standing with weight, lowering into squat with thighs parallel, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1288","Planche de cote dynamique","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing planche de cote dynamique, performing exercise with proper form, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Plank","Plank","no","prone position; body straight; supported on forearms and toes","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing plank, prone position, body straight, supported on forearms and toes, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1489","Plank Jacks","yes","prone position; body straight; supported on forearms and toes","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing plank jacks, prone position, body straight, supported on forearms and toes, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1766","Plank Reach","yes","prone position; body straight; supported on forearms and toes","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing plank reach, prone position, body straight, supported on forearms and toes, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1091","Plank Shoulter Taps","yes","prone position; body straight; supported on forearms and toes","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing plank shoulter taps, prone position, body straight, supported on forearms and toes, using gym mat, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1410","Plank with Alternating Leg Lift","yes","prone position; body straight; supported on forearms and toes","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing plank with alternating leg lift, prone position, body straight, supported on forearms and toes, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1406","Plank-to-Elbow Extension","yes","prone position; body straight; supported on forearms and toes","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing plank-to-elbow extension, prone position, body straight, supported on forearms and toes, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1275","Plantarflexion Stretch with Band","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing plantarflexion stretch with band, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Plate_Pinch","Plate Pinch","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing plate pinch, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1430","Plate Pinch Hold","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing plate pinch hold, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Plate_Twist","Plate Twist","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing plate twist, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Platform_Hamstring_Slides","Platform Hamstring Slides","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing platform hamstring slides, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Plie_Dumbbell_Squat","Plie Dumbbell Squat","yes","standing with weight; lowering into squat with thighs parallel","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing plie dumbbell squat, standing with weight, lowering into squat with thighs parallel, holding dumbbells, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Plyo_Kettlebell_Pushups","Plyo Kettlebell Pushups","yes","prone position; body straight; arms pushing body up from floor","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing plyo kettlebell pushups, prone position, body straight, arms pushing body up from floor, holding kettlebell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Plyo_Push-up","Plyo Push-up","no","prone position; body straight; arms pushing body up from floor","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing plyo push-up, prone position, body straight, arms pushing body up from floor, bodyweight only, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Posterior_Tibialis_Stretch","Posterior Tibialis Stretch","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing posterior tibialis stretch, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Power_Clean","Power Clean","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing power clean, performing exercise with proper form, holding barbell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Power_Clean_from_Blocks","Power Clean from Blocks","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing power clean from blocks, performing exercise with proper form, holding barbell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Power_Jerk","Power Jerk","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing power jerk, performing exercise with proper form, holding barbell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Power_Partials","Power Partials","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing power partials, performing exercise with proper form, holding dumbbells, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Power_Snatch","Power Snatch","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing power snatch, performing exercise with proper form, holding barbell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Power_Snatch_from_Blocks","Power Snatch from Blocks","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing power snatch from blocks, performing exercise with proper form, holding barbell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Power_Stairs","Power Stairs","yes","performing exercise with proper form","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing power stairs, performing exercise with proper form, using other, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Preacher_Curl","Preacher Curl","yes","standing or seated; arm curling weight toward shoulder","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing preacher curl, standing or seated, arm curling weight toward shoulder, holding barbell, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1658","Preacher Curl - Externally Rotated","yes","standing or seated; arm curling weight toward shoulder","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing preacher curl - externally rotated, standing or seated, arm curling weight toward shoulder, holding dumbbells, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_1657","Preacher Curl - Internally Rotated","yes","standing or seated; arm curling weight toward shoulder","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing preacher curl - internally rotated, standing or seated, arm curling weight toward shoulder, holding dumbbells, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"wger_465","Preacher Curls","yes","standing or seated; arm curling weight toward shoulder","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing preacher curls, standing or seated, arm curling weight toward shoulder, using sz-bar, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
"Preacher_Hammer_Dumbbell_Curl","Preacher Hammer Dumbbell Curl","yes","standing or seated; arm curling weight toward shoulder","minimalist exercise icon, single human silhouette in solid dark gray (#1A1A1A), person performing preacher hammer dumbbell curl, standing or seated, arm curling weight toward shoulder, holding dumbbells, lime green accent line showing movement direction, transparent background, flat design, no gradients, fitness app icon style, ultra clean, sharp edges, centered composition --no text, labels, multiple people, detailed face, realistic skin, shadows, 3D effects, gradients, busy background, photorealistic"
